X_validation,Original_Y,Predicted_y
6.798801197069999080e-01,1.799099999999999866e-01,1.800384074449539185e-01
9.885867298620000243e-01,4.371899999999999675e-01,4.382749199867248535e-01
9.649478151929999914e-01,3.902300000000000213e-01,3.892922997474670410e-01
7.388366266820000083e-01,2.086199999999999721e-01,2.086478471755981445e-01
1.733417645760000070e-01,2.588999999999999635e-02,2.538489736616611481e-02
8.222467616290000114e-01,2.570399999999999907e-01,2.567661404609680176e-01
6.321280943920000173e-01,1.590900000000000092e-01,1.591476351022720337e-01
8.791164910290000245e-01,2.982299999999999951e-01,2.982199192047119141e-01
2.109718305630000068e-01,3.336000000000000076e-02,3.300828859210014343e-02
5.445181820620000890e-01,1.253400000000000070e-01,1.251768916845321655e-01
6.193424639529999665e-01,1.538299999999999945e-01,1.538544446229934692e-01
8.850593812679999894e-01,3.031099999999999905e-01,3.031613528728485107e-01
9.996950551070000746e-01,4.897199999999999886e-01,4.816000461578369141e-01
7.840285711210001063e-01,2.334800000000000209e-01,2.333171367645263672e-01
9.328024981090000667e-01,3.485900000000000110e-01,3.488100767135620117e-01
4.042546876860000360e-01,8.058999999999999497e-02,8.063554763793945312e-02
4.881621038819999869e-01,1.061400000000000121e-01,1.059609800577163696e-01
1.728181164090000221e-01,2.578999999999999695e-02,2.528493292629718781e-02
9.423506582389999942e-01,3.595999999999999752e-01,3.596003055572509766e-01
9.438473741069999257e-01,3.614100000000000090e-01,3.613626062870025635e-01
3.017040739269999938e-01,5.365000000000000324e-02,5.383653938770294189e-02
2.646768771440000112e-01,4.497999999999999915e-02,4.500873014330863953e-02
7.994194338919999865e-01,2.426500000000000046e-01,2.424273192882537842e-01
9.431470496430001127e-01,3.605599999999999916e-01,3.605353534221649170e-01
6.950261068490000138e-01,1.869400000000000228e-01,1.870645731687545776e-01
6.445214563379999539e-01,1.643099999999999838e-01,1.643956005573272705e-01
7.862342538930000568e-01,2.347699999999999787e-01,2.345978170633316040e-01
2.332789415320000170e-01,3.805000000000000049e-02,3.786158189177513123e-02
9.958294764720000414e-01,4.620000000000000218e-01,4.639320671558380127e-01
9.986596024630000068e-01,4.784499999999999864e-01,4.765435755252838135e-01
3.684933360570000205e-01,7.069000000000000283e-02,7.084937393665313721e-02
8.059735176060000006e-01,2.466800000000000104e-01,2.464367449283599854e-01
8.488277434700000068e-01,2.752000000000000002e-01,2.749677896499633789e-01
8.133950744040000513e-01,2.513400000000000079e-01,2.510787248611450195e-01
6.857968281330000249e-01,1.826299999999999868e-01,1.827587038278579712e-01
8.556551155730000024e-01,2.801500000000000101e-01,2.799515128135681152e-01
9.323054178479999177e-01,3.480400000000000160e-01,3.482677340507507324e-01
5.509024397759999525e-01,1.276299999999999935e-01,1.274778246879577637e-01
4.841219630699999388e-01,1.048299999999999926e-01,1.046558246016502380e-01
9.994416393179998970e-01,4.860899999999999666e-01,4.803391396999359131e-01
2.913885219779999702e-01,5.118000000000000327e-02,5.133585631847381592e-02
5.034349761180000327e-01,1.111700000000000049e-01,1.109799146652221680e-01
4.518546283969999272e-02,4.970000000000000459e-03,8.335695601999759674e-03
9.377198475529999744e-01,3.541500000000000203e-01,3.542745709419250488e-01
7.431805017360000321e-01,2.108900000000000219e-01,2.109019458293914795e-01
9.827704601050000210e-01,4.228800000000000336e-01,4.226700067520141602e-01
